hate,female,filtered_text
1.0,0.0,ჩაიგდე ხმა შე მავნებელი ომი საქართველომ დაიწყო ლავროვი საუკეთესო დიპლომატია თქვენისთანა მავნებელმა ფარისევლებმა შექმენით ეს მოცემულობა ხმა მაინც ჩაიგდე ან პირდაპირ თქვი რომ ხარ იყავი რუსი ოლიგარქის პირადი მონა მისი ყველა სიმახინჯის შემსრულებელი და ნანობ სად არი სინანული ან ოლიგარქის კრიტიკა შე ფარისეველო
1.0,1.0,სამარცხვინო ქალო მიდი გაეკიდე ქაცარავას
0.0,0.0,იმოწმედეთ პრეზიდენტო
1.0,1.0,რა უზნეო ქალი ხარ არ იცი როგორ აურიო ქვეყანა გადადექი მოგიწოდობთ ქართველი ხალხი
1.0,0.0,Neta icodet mainc ras bjuturobt
0.0,0.0,ბრავო ქალბატონო
1.0,0.0,Nana Marshania გადაწყვეტენ არიან რუსებიც და მათი თაყვანისმცემლები ვინც ეგ ღორები შემოყარა საქართველოში ხლივს მოშორებული იყვნენ საქართველოდან და შინაურმა მტრებმა ყველა ნაგავი აქ შემოყარა ქართველები გაყარეს საქართველოდან სატანებმა
1.0,0.0,ზურა ოთარაშვილი ylis shvilo
1.0,0.0,Ketino Paichadze bebero bozo mogberzda kacebi
1.0,1.0,Lali Gugushvili mogityan dedis piri
1.0,1.0,KonsTantine Zhorzholiani რა სიკვდილი გააკეთა ამ ჯაშუშმა დედაკაცმა რომ ეს არ მოხდეს გადავასახლოთ მილიონიანი რუსეთი თუ ჩვენ გადავსახლდეთ რითი აპირებს ეს გველი დედაკაცი საქმის მოგვარებას შეშფოთებით თუ ამერიკის ბაზების გახსნით მაგ ადგილას და ორ დღეში სამუდამოდ გაქრობას საქართველოსი
