hate,female,filtered_text
,,თავისუფლება პრეზიდენტ სააკაშვილს FreeSaakashvili
,,თავს გაუფრთხილდით საფრანგეთის რეზიდენტო ჩვენო ვაი პრეზიდენტო
,,პირიქით აწყობთ რაც უფრო დამძიმდება სიტუაცია ახლა როცა რაღაც წყდება ჩვენთვის ნაც ახალი პირის გასასველებელი გახდება
,,ჩვენც მხოლოდ აღშფოთებულები ვართ სხვა რა შეგვიძლია ვნახოთ ვინ იქნება შემდეგი
,,ხალხნო დაგმობა აღშფოთება შეშფოთება რას აკათებეს ეს ამიხსენით და ხმას აღარ ამოვიღებ სხვა არაფერი იციან ევროპაში და დასავლეთში
,,სამწუხარო ფაქტია ჩვენ კი იმის ძალა არ გვაქვს რომ პასუხი გავცეთ დახმარებით კი არავინ დაგვეხმარება
,,ჩადი და დაელაპარაკე პრინციპულად მტკიცედ და კორექტულად საერთაშორისო თანამეგობრობას კი არ ჰქვია საქართველოს პრეზიდენტი არამედ იმას ვინც არ იცის ვის უნდა ესაუბროს ფარატინა განცხადებების კეთების ნაცვლად
,,აღშფოთებულების იმედი გვქონდეს
,,კარასინი აბაშიძე აღშფოთდნენ არყის სმით და მას მერე პახმელიაზე არიან და ვერ გამოდიან
,,რა საცოდავი ერი ვართ ეს რუსეთმა შეგვჭამა რა უნდათ ამდენი ტერიტორია წაგვართვა კიდე ვერ დზღება
,,მერე ლავროვი ხომ იყო შენი დიდი მეგობარი ჩადი და დაელაპარაკე
,,ფაქტია რომ თქვენს მეტს მმართველი გუნდიდან ხმა არ ამოუღია ჯერ და ცალსახად არ კმარა ეს მობეზრებული და არაფრისმაქნისი სიტყვები იმ ძალასთან რასაც ტერორისტული რუსეთი ჰქვია შეუძლებელია ამ ქაღალდების გაფილტრულო ენით გამკლავება არსებულ პოლიტიკასთან და მერამდენე მაგალითი შეიძლება იყოს დანარჩენი მსოფლიოსთვის რომ შფოთვისა და გმინვის გამოხატვა არ აოკებს მტრის მტრულ ზრახვებს
,,უპატრონობით სავსე ქვეყანა
,,ისევ ბლა ბლა ბლა დაგმობა რას უშველის გაცოცხლებს ადმაინებს თუ რუსები ეგრევე დატოვებენ საქართველოს ტერიტორიას თუ რა მოხდება თუ შეწყდება მცოცავი ოკუპაცია თუ აღარ გაიატცებენ ქართველებს კვირა არ გადის რომ ქართველები არ გაიტაცონ
