hate,female,0,filtered_text
,,Ra moguva kesarias rom ramit daexmaros am xalx,
1,1,ნინო ბოლქვაძე ხარ თუ ყლე ქალა რატო არ გადაყვა დედაშენი შენს გაჩენას მადლი იქნებოდა საწყალი ალბათ როგორ იტანჯება,
1,0,Deda mogtyvniat ylishvilebooo guli visac daswydes imis dedasac sheveci vinc tkvas ra kai adamiani davkargeto vinc gagixsenebt imis dedas sheveciii,
1,0,tqven dedas shevrci pirdapir visac transebs mxars uchert bozevixart yvelaaa,
1,0,tqveni winapari movtyan tqveni dedashvecii vin gagchinat bliad vin,
1,0,vamee tqvenii dedamovtyan transebo ar gadameyarot tore arcici ra gaajvit saqartvelodan naxviit,
1,1,ეს ქალკაცაააა გადაგიშრენდა პატრონი და თავტანი ბოლქვაძე თუ ღლე ხარ დაიწყო ცეცხლში,
1,0,Qatmebi arian zogi dasaklavia zogi mosaklavia zogi ukve saiqioshi gastumrebuli sxvadasxva gzit,
,,gmerto ra qveyanashi vcxovrobt araprad gvagdeben gansxvavebulebs,
1,0,დაგაფსით ქართველებო საქათმე ხართ,
1,0,პუტანკა მწოველებო,
1,0,მეპირეები ხართ პუტანკებო,
1,0,ორივეს დაგაფსით თავზე,
1,1,ეს ქალი უარესია,
,,ამას ვენერა ობოლაშვილი მიუყვანეთ და მოუგვარებს,
,,რა საჭიროა გარკვევა ვინაა ამორალი გარყვნილი არსება ნუ იშლი ნერვებს,
,,ვაიი საქართველოო,
,,,
1,1,აი გენაცვალე მართლა ჯიგარი ქალბატონი ბრძანდებით მცხვენია იმ ხალხის ვინც ამ ნაგავ არსებას მხარს უჭერთ გრცხვენოდეთ რომ მის ნაირები ხართ და თავს ასე იმცირებთ ქართველები მაინც არ იყოთ სამარცხვინოა თქვენი საქციელი საქართველოს ქართველ რელიგიას შეურაწყოფას აყენებს ეს არა ადამიანი და თქვენ დგახართ და უწერთ ქრისტი მიყვარხარ და ასე შემდეგ მცხვენია რომ თქვენ ქართველები გქვიათ ყველაზე არ მაქ ლაპარაკი მათზე მაგ ვინც ამ საქონელს მხარს უჭერთ ქრისწი თუ ქრისტი ვინც ჩემი ფეხებიც ხარ ვერ გიტან გულის ამრევი არა ადამიანი ხარ ვერ გიტან,
1,0,Araa sakartvelishi mag gamzdel hajmuli,
1,1,Prshxili kiara da tmebi labadzexar tu shemikle shen ukanaskneli klis tesli gjobia raarsebaxar tudaadgines,
,,წისისიაიწკწჯსკსჯსჯსჯსისუაიწჰეისჯქს აჯსიაჯაიწჯწჯსიიხიდიდჯსჯწ სქიწიზუუდუზიწჯსის ქჯზ ქჰდიჯსსისოსისი სსისიის,
,,წჯსიაკწჯსოქკქოეჯა წჰხუგვდგხუხუსუსუსუსსიოსსისკსიდიდისჯსოწწიდკჯდჯდისწოიწწი,
,,ჯაკაჯააჯაბზლქბლსკქმდკდკა,
,,ჰსსუსუსჯწწჯწჯწუსისჯსჯსჯსჯსჯსჯჯსჯსჯსჯსჯსკსკსი ჯწ სიეჰესი ნდნსისჯჯსკეწჯოანქაოჯსსჰჯზან,
,,უწსიქჯქოქკაკზ ქნქოქჯეჯსიისსჯსიწიქოიწიწნქისჯსნწისიწჯწ ჯდჯდკსკსსკსკსკსკს,
1,0,Rato elaparakebit am pidarast ra shecvlit tuu gsiamovnebt pidarasttan laparako,
1,1,Erti maxinji nasha meore pidarasti eaaa simartle araferi ar chirs pidarastia shen saftxobela nasha xar,
,,გიორგი ქვია,
,,,
1,0,Ai sheni deda m ovtyan,
1,1,ქალი რა გატეხილშია D არ მოტყნა კაცმა და,
1,1,Erti pidari da meore mankurti ia vshoke she kle qala qartuli iscavle amar vin ukurevt vabshe orive siria,
,,პე პრასნიკ დუტკა,
1,1,ქრისტი ყლე ბლიადო განდონო,
1,0,პრასტიტუტკა,
,,Sagolllll,
1,0,Trakshi tknauris meti araperi arundat pidarastebi,
1,1,ფუ რასგავს ის ქალი ჯობია სილამაზეში,
,,hen rom lanzgav kristis kidev araferi gitxras unda da asetia vin gekitxeba viin vin aris elene,
1,0,თქვენი დედები მოვტყან,
1,0,ფუ რა გულის ამრევები ხართ რატო არსებობთ საერთოდ ასეთები როგორ შეიძლება ადან მიანი ისთი საზიზღარი იყო რომ სხვაში აი ჩვეულებრივად ფიზიკურად იწვევდე უკვე გულის რევას და მორალზე ხომ ლაპარაკიც ზედმეტია სადან ამიმგდო ეს ნაღწყევი იუტუბმა,
1,1,ხოარ გგონია მაგისგან დიდათ განსხვავები ქალის სახელს არცხვენ ნუ იბრალებ ქალობას შე ნაგაოო ამ მახინჯის ამყოლის ყველას დედას შევეცი და მერე რო ქართველ ქალობაზე გაქ პრეტენზია ან რა სიტყვებს ხმარობ რა ლექსიკა გააქ მართლა რას გავხარ მე ვიყო ბოზი ეგ თუარ გჯობდეს ეგ რაცარი ვინცარი იმას მაინც არმალავს და არ უტყდება შენ იმენა იბრალებ იმას რაცარხარ გული მერევა შენნაირებზე,
1,1,რას გავხარ შე სასირცხცხვილო არსად არ სთქვა ქართველი რომ ხარ ქრისტი არა სირი ბლიად შენ მეტრაკე და რაგასეებს გაიძახი მერე საქართველოზე,
1,1,Qaloba muteli Ar aris marto oqros sityvebia,
1,0,შენი მაძუნგელა,
,,Ddddddddddddddddddddddddddddd Ddddddddddddddddddddddddd,
1,1,მიუხედავად იმისა რომ კრისტი ლაბაძეს ვერ ვიტან ამ ვიდეოში კრისტი ლაბაძეა მართალი ის ვიღაცა დეგენერატი რუსი ჰომოფობი საერთოდ ხმას როგორ იღებს ახლა ვასაძისტ ფალავანდიშვილისტი ვითომ ქართველობის დამცველები არ გამომიხტეთ,
,,ra kargad agina im qalma,
1,1,She yleqalkaco shen sheni dedassheveci me qristi labadze,
1,1,Qristii she satanis mociquloo yvela lgbt temis damcvelma da tviton lgbt pirevmac dagajvit tavze she plastmasis yvero lgbt temidan gariyuli xar shen vinc nornaluriaand shennairebi upuchebt saxels adamianobas tore transgenderebi vici bevr tradiciuli orientaciisas jobian adamianobit shen xar nabijvari,
,,ამას ღადაობიდ როგორ იღებთ ერს ვაუპატიურებთ ჩვენი არასწორი საქციელით ეს ქალი მართლაც რომ სწორს ამბობს კარგად მიუდგა და ამან მაინც აგინა თავიდან ფეხებამდე მძღნერში ვართ ამ ვიდეოდან რა რამხელა აზრის გამოტანა შეიძლება და ის იმბეცილები რომლებიც ამაზე იცინიან მათშორის ვიდეოს ავტრი ამას ვერასდროს ჩაწვდება,
1,0,Vai ra debili aaa,
,,ადამიანი ბისექსუალია ბუნებით პატარა ასაკში ორივე სექსი ევასება სათომაროდ ადამიანს,
,,კაცი იყავი და ქალად გადაკეთდი,
1,0,ყლე,
1,0,Kles atrevt tkuilad,
1,0,Hen vinc mogtknavs imas moutkan misi ojaxi,
1,1,Qristi she yleo ylifona bozandara bichi xar da gamoixexe prochi,
1,1,კრისტი ჩვენი მინეტჩიკა ბიჭი,
1,0,vai se degenerato,
1,0,Gaaklevebdi Didi siamovnebit sheni momxreebianat dagamutelebdi Didi siamovnebit,
1,0,საყლევეთიააა,
,,,
,,კრისტი ლაბაძე დაფოლოვებული გყავს ვინც ეს ვიდეო დადო იმას ვეუგვნები,
1,0,sens dedas sheveci,
,,Au ra agresiaaa ra daashava eseti roa,
,,https youtu be qeS UBXrlF,
1,0,დებილო,
1,0,ყლეო,
1,0,Ra sashinelebaa saqartvelo eseti gonebachamorchenili nagavi xalxit savse sawyali gogo Eg dampali vis aswavlis qalobas sarkeshi chaixedos jer Damplebi,
,,ერთმანეთს მოდაზე და თმაზე დასდევენ რაარის ახალი,
,,,
,,რა ლამაზია ის ქალი რაღაცნაირად ლამაზია,
,,Midi shen chababe eaici caasune da cgaubaneli kondaaa kleooo,
1,0,Sakartveloshi verc gabedaven aset laparaks trakis mimcemebi,
1,0,Ertianad xart dasacvavi tkve pidarastebo,
1,0,განა არის სადმე ერი ჩვენისთანა ღლედაღვერი,
,,აჰაჰაჰაჰა რა ვიცინე კაი იყო,
,,,
1,0,yvela adamiani vinc magaze tqvas kai admianiao kristize tqvas ro kaia aamianiao ojaxianad unda movutyna kargis trakiii,
1,0,ია ვ ვშოკე პაშლა ტი ნახუი ჯიგარია ის ქერა ასიანს ეუბნება ამ სირს,
1,0,ყლეო,
,,აგერ ნამდვილი ქართველი ვაჟკაცი,
1,1,bozia eg cheemallaa kristi labaze,
,,წავიდა ჩხუბი,
,,ერთს ან მეორეს რა გონია ერბო ქონია ერბო ერბოა ქონი ქონია,
1,1,კრისტი შენ დინოზავრო ჩამოდი აბა საქართველოში ინტირნეტ სივრცეში რომ იჭიმები ვითომ მაგარი ხარ ჩამოეთრიე საქართველოში გეშინია ხო,
,,ახჩიკამ ნახე როვორ დააფარა,
,,au kristi qali gaagijaa imena,
1,1,qristi labadze neta camovides saqartvelosi vaiiii ras vuzam gavpizdav davasisxlianeb mag piderasts mezizgeba kacia da qalis pomada da tansacmeli acvia ar scxvenia mag geis,
,,ლაციო,
,,ჰ როგორ მიშლის ნერვებს ეს სათვალებიანი კაცია თუ ქალია ოხ,
,,Giorgi labadze arxar shen qali da verciqnebi Arc kacixar da verc kaci iqnebi Aqedan gamomdinare shen veratvicnobiereb rom shecdomaxsr da sacodavi adamiani romelic xmert maincuxvar radgan chven xmertis shvilebivart rato itanjav da imcareb sicocxles roca segidzlia chumadixo visushi nerveb vistvis da ristvis aketeb amxvelapers Cheveulebrivad eshmakis mosamsaxurexar da esec ver gagitvicnobierebia maram dro gava clebic mogemsteba da es xvelaperi dagxlis da ai mand icvaleb da daitanjebi da xmerts namdvilad sheevedrebi rom gagantavisuplos magram mgoni gviani iqneba ravi jer kidev gaagrdzele da mixede xalxis nervebze tamashs,
,,rato mogwont xalxo seiris yureba,
1,1,kristis dedis muteli movtyan eg qartveli araa magis dedis mutelshi sheca mtelma msofliom ra xdeba kimara vinc elgbts fania imas movutyan dedis muteli,
1,0,eg plasmasis chuchu eg yle transi,
,,Rusulad ras chautara sukaa,
,,ეს ტრანსია მგონი,
1,0,ფუ ეს პიდარასტი,
1,0,Orive mutlebi xart,
,,,
,,Feisbuki amistvis gamoigonet,
1,1,Kristi r odis chazagldebi sheni jishdajilags Sheveci,
,,რომ აგინებს და თან ჟენსკი როდით,
,,ის თეთრ თმიანი ქალი პროცენტით მართალია,
,,რა ქართველი გვარგადაკეთებული რომ საქართველო შეარცხვინოს,
,,ია ვ შოკე,
,,ვაჰაჰაჰაააააააა,
1,0,ამოწყდეს ასეთი გეები ყველა და ამ მთავრობამ კიდევ ზომები უნდა მიიღონ და სამუდსმო მისცენ ასეთებს იქ ერთად შეყარონ და იტეხონ კისერი,
1,0,ნაგავია ეგ ვიღაცაა საერთოდ რატომ უცვლით თავს ამ ნაგავ მინეტკას,
1,0,აი თქვენ შეგცათ ალაზნის ველზე ვირმა ხახაში,
1,0,საიდან მოდიხართ თქვენი გამზრდელიც და ყველაფერი საყურე კი არა სამში გრძელი ჩამოიკიდე,
,,Sagoi qeratmiano,
,,,
1,0,რუსი გოიმი და ტრანსი კუტუკაცი,
1,0,ორი ნეხვის ბუზი ბზუიან ორივე ნეხვზე სხედან,
,,Roja imena kaifobs imena kidia,
,,გიორგი ნესუაშვილი,
,,Fixplay,
1,0,es unda axmarino zooparks nabozari,
1,0,Amati namshibi movtyan piradoba manaxe sheni bozi dedamovtyan,
,,Martla sircxvili amas vic naxavs axlodan da arapers ro at uzams,
1,1,Saxo qalo jigari xar amis gaurkvebeli dedas sheveci kalia tu bichi tavs ver daadgam amis dedas sheveci,
,,ია ვ შოკე,
,,vaimeee ddd,
1,0,es unda motyna kacit dddd mara iseti ylis gijia esiamovneba amas moutyan damjmeli eseti yleebis salaparakoc ro movida,
1,0,tqve gakuebulze gamovardnilo ylebo,
1,0,ox orives mogityant dedis gvidzlebi,
1,0,ფუ თქვენი ცისფერი და ბანძის დიალოგი,
1,0,Trasylendero,
